frame,x,y
0,403.33,297.56
1,406.67,295.17
2,410.00,292.83
3,413.33,290.56
4,416.67,288.33
5,420.00,286.17
6,423.33,284.06
7,426.67,282.00
8,430.00,280.00
9,433.33,278.06
10,436.67,276.17
11,440.00,274.33
12,443.33,272.56
13,446.67,270.83
14,450.00,269.17
15,453.33,267.56
16,456.67,266.00
17,460.00,264.50
18,463.33,263.06
19,466.67,261.67
20,470.00,260.33
21,473.33,259.06
22,476.67,257.83
23,480.00,256.67
24,483.33,255.56
25,486.67,254.50
26,490.00,253.50
27,493.33,252.56
28,496.67,251.67
29,500.00,250.83
30,503.33,250.06
31,506.67,249.33
32,510.00,248.67
33,513.33,248.06
34,516.67,247.50
35,520.00,247.00
36,523.33,246.56
37,526.67,246.17
38,530.00,245.83
39,533.33,245.56
40,536.67,245.33
41,540.00,245.17
42,543.33,245.06
43,546.67,245.00
44,550.00,245.00
45,553.33,245.06
46,556.67,245.17
47,560.00,245.33
48,563.33,245.56
49,566.67,245.83
50,570.00,246.17
51,573.33,246.56
52,576.67,247.00
53,580.00,247.50
54,583.33,248.06
55,586.67,248.67
56,590.00,249.33
57,593.33,250.06
58,596.21,251.62
59,598.55,254.18
60,600.89,256.79
61,603.23,259.45
62,605.57,262.17
63,607.91,264.95
64,610.25,267.78
65,612.59,270.66
66,614.93,273.61
67,617.27,276.60
68,619.61,279.66
69,621.95,282.77
70,624.29,285.93
71,625.90,288.73
72,621.94,288.37
73,617.98,288.06
74,614.02,287.81
75,610.07,287.62
76,606.11,287.48
77,602.15,287.40
78,598.19,287.37
79,594.23,287.40
80,590.27,287.48
81,586.31,287.62
82,582.35,287.81
83,578.40,288.06
84,574.44,288.37
85,570.48,288.73
86,566.52,289.15
87,562.56,289.62
88,558.60,290.15
89,554.64,290.73
90,550.68,291.37
91,546.72,292.06
92,542.77,292.81
93,538.81,293.62
94,534.85,294.48
95,530.89,295.40
96,526.93,296.37
97,522.97,297.40
98,519.01,298.48
99,515.05,299.62
100,511.10,300.81
101,507.14,302.06
102,503.18,303.37
103,499.22,304.73
104,495.26,306.15
105,491.30,307.62
106,487.34,309.15
107,483.38,310.73
108,479.43,312.37
109,475.47,314.06
110,471.51,315.81
111,467.55,317.62
112,463.59,319.48
113,459.63,321.40
114,455.67,323.37
115,451.71,325.40
116,447.75,327.48
117,443.80,329.62
118,439.84,331.81
119,435.88,334.06
120,431.92,336.37
121,427.96,338.73
122,424.00,341.15
123,420.04,343.62
124,416.08,346.15
125,412.13,348.73
126,408.17,351.37
127,404.21,354.06
128,400.25,356.81
129,396.29,359.62
130,392.33,362.48
131,388.37,365.40
132,384.41,368.37
133,380.46,371.40
134,376.50,374.48
135,372.54,377.62
136,368.58,380.81
137,364.62,384.06
138,360.66,387.37
139,356.70,390.73
140,352.74,394.15
141,348.78,397.62
142,344.83,401.15
143,340.87,404.73
144,336.91,408.37
145,332.95,412.06
146,328.99,415.81
147,325.57,418.69
148,326.89,413.41
149,328.20,408.19
150,329.52,403.03
151,330.84,397.92
152,332.15,392.86
153,333.47,387.87
154,334.78,382.92
155,336.10,378.04
156,337.42,373.21
157,338.73,368.43
158,340.05,363.71
159,341.37,359.04
160,342.68,354.44
161,344.00,349.88
162,345.31,345.38
163,346.63,340.94
164,347.95,336.56
165,349.26,332.22
166,350.58,327.95
167,351.90,323.73
168,353.21,319.56
169,354.53,315.46
170,355.85,311.40
171,357.16,307.40
172,358.48,303.46
173,359.79,299.57
174,361.11,295.74
175,362.43,291.97
176,363.74,288.25
177,365.06,284.58
178,366.38,280.97
179,367.69,277.42
180,369.01,273.92
181,370.32,270.48
182,371.64,267.09
183,372.96,263.76
184,374.27,260.49
185,375.59,257.27
186,376.91,254.10
187,378.22,250.99
188,379.54,247.94
189,380.86,244.94
190,382.17,242.00
191,383.49,239.11
192,384.80,236.28
193,386.12,233.51
194,387.44,230.79
195,388.75,228.12
196,390.07,225.51
197,391.39,222.96
198,392.70,220.46
199,394.02,218.02
200,395.33,215.63
201,396.65,213.30
202,397.97,211.03
203,399.28,208.81
204,400.60,206.64
205,401.92,204.53
206,403.23,202.48
207,404.55,200.48
208,405.86,198.54
209,407.18,196.65
210,408.50,194.82
211,409.81,193.04
212,411.13,191.32
213,412.45,189.66
214,413.76,188.05
215,415.08,186.50
216,416.40,185.00
217,417.71,183.56
218,419.03,182.17
219,420.34,180.84
220,421.66,179.56
221,422.98,178.34
222,424.29,177.18
223,425.61,176.07
224,426.93,175.02
225,428.24,174.02
226,429.56,173.08
227,430.87,172.19
228,432.19,171.36
229,433.51,170.58
230,434.82,169.86
231,436.14,169.20
232,437.46,168.59
233,438.77,168.04
234,440.09,167.54
235,441.41,167.10
236,442.72,166.71
237,444.04,166.38
238,445.35,166.10
239,446.67,165.88
240,447.84,165.96
241,448.36,167.24
242,448.88,168.58
243,449.39,169.96
244,449.91,171.41
245,450.42,172.91
246,450.94,174.46
247,451.45,176.08
248,451.97,177.74
249,452.49,179.46
250,453.00,181.24
251,453.52,183.08
252,454.03,184.96
253,454.55,186.91
254,455.06,188.91
255,455.58,190.96
256,456.09,193.08
257,456.61,195.24
258,457.13,197.46
259,457.64,199.74
260,458.16,202.08
261,458.67,204.46
262,459.19,206.91
263,459.70,209.41
264,460.22,211.96
265,460.74,214.58
266,461.25,217.24
267,461.77,219.96
268,462.28,222.74
269,462.80,225.58
270,463.31,228.46
271,463.83,231.41
272,464.35,234.41
273,464.86,237.46
274,465.38,240.58
275,465.89,243.74
276,466.41,246.96
277,466.92,250.24
278,467.44,253.58
279,467.96,256.96
280,468.47,260.41
281,468.99,263.91
282,469.50,267.46
283,470.02,271.08
284,470.53,274.74
285,471.05,278.46
286,471.57,282.24
287,472.08,286.08
288,472.60,289.96
289,473.11,293.91
290,473.63,297.91
291,474.14,301.96
292,474.66,306.08
293,475.17,310.24
294,475.69,314.46
295,476.21,318.74
296,476.72,323.08
297,477.24,327.46
298,477.75,331.91
299,478.27,336.41
300,478.78,340.96
301,479.30,345.58
302,479.82,350.24
303,480.33,354.96
304,480.85,359.74
305,481.36,364.58
306,481.88,369.46
307,482.39,374.41
308,482.91,379.41
309,483.43,384.46
310,483.94,389.58
311,484.46,394.74
312,484.97,399.96
313,485.49,405.24
314,486.00,410.58
315,486.52,415.96
316,487.04,421.41
317,487.55,426.91
318,488.07,432.46
319,488.58,438.08
320,489.10,443.74
321,489.61,449.46
322,490.13,455.24
323,490.64,461.08
324,491.16,466.96
325,491.68,472.91
326,492.19,478.91
327,492.71,484.96
328,493.22,491.08
329,493.74,497.24
330,494.25,503.46
331,494.77,509.74
332,494.80,515.80
333,491.44,514.45
334,490.97,508.15
335,490.50,501.90
336,490.04,495.70
337,489.57,489.56
338,489.10,483.48
339,488.63,477.45
340,488.17,471.48
341,487.70,465.56
342,487.23,459.70
343,486.76,453.90
344,486.30,448.15
345,485.83,442.45
346,485.36,436.81
347,484.89,431.23
348,484.43,425.70
349,483.96,420.23
350,483.49,414.81
351,483.02,409.45
352,482.56,404.15
353,482.09,398.90
354,481.62,393.70
355,481.15,388.56
356,480.69,383.48
357,480.22,378.45
358,479.75,373.48
359,479.28,368.56
360,478.82,363.70
361,478.35,358.90
362,477.88,354.15
363,477.41,349.45
364,476.95,344.81
365,476.48,340.23
366,476.01,335.70
367,475.54,331.23
368,475.08,326.81
369,474.61,322.45
370,474.14,318.15
371,473.67,313.90
372,473.21,309.70
373,472.74,305.56
374,472.27,301.48
375,471.80,297.45
376,471.33,293.48
377,470.87,289.56
378,470.40,285.70
379,469.93,281.90
380,469.46,278.15
381,469.00,274.45
382,468.53,270.81
383,468.06,267.23
384,467.59,263.70
385,467.13,260.23
386,466.66,256.81
387,466.19,253.45
388,465.72,250.15
389,465.26,246.90
390,464.79,243.70
391,464.32,240.56
392,463.85,237.48
393,463.39,234.45
394,462.92,231.48
395,462.45,228.56
396,461.98,225.70
397,461.52,222.90
398,461.05,220.15
399,460.58,217.45
400,460.11,214.81
401,459.65,212.23
402,459.18,209.70
403,458.71,207.23
404,458.24,204.81
405,457.78,202.45
406,457.31,200.15
407,456.84,197.90
408,456.37,195.70
409,455.91,193.56
410,455.44,191.48
411,454.97,189.45
412,454.50,187.48
413,454.04,185.56
414,453.57,183.70
415,453.10,181.90
416,452.63,180.15
417,452.17,178.45
418,451.70,176.81
419,451.23,175.23
420,450.76,173.70
421,450.29,172.23
422,449.83,170.81
423,449.36,169.45
424,448.89,168.15
425,448.42,166.90
426,447.81,165.95
427,446.55,166.20
428,445.28,166.50
429,444.01,166.86
430,442.74,167.27
431,441.47,167.74
432,440.21,168.27
433,438.94,168.85
434,437.67,169.49
435,436.40,170.18
436,435.13,170.93
437,433.86,171.73
438,432.60,172.59
439,431.33,173.50
440,430.06,174.47
441,428.79,175.50
442,427.52,176.58
443,426.26,177.72
444,424.99,178.91
445,423.72,180.16
446,422.45,181.46
447,421.18,182.82
448,419.91,184.23
449,418.65,185.70
450,417.38,187.23
451,416.11,188.81
452,414.84,190.45
453,413.57,192.14
454,412.30,193.89
455,411.04,195.69
456,409.77,197.55
457,408.50,199.46
458,407.23,201.43
459,405.96,203.46
460,404.70,205.54
461,403.43,207.68
462,402.16,209.87
463,400.89,212.12
464,399.62,214.42
465,398.35,216.78
466,397.09,219.20
467,395.82,221.67
468,394.55,224.19
469,393.28,226.77
470,392.01,229.41
471,390.75,232.10
472,389.48,234.85
473,388.21,237.65
474,386.94,240.51
475,385.67,243.43
476,384.40,246.40
477,383.14,249.42
478,381.87,252.50
479,380.60,255.64
480,379.33,258.83
481,378.06,262.08
482,376.80,265.38
483,375.53,268.74
484,374.26,272.16
485,372.99,275.63
486,371.72,279.15
487,370.45,282.73
488,369.19,286.37
489,367.92,290.06
490,366.65,293.81
491,365.38,297.61
492,364.11,301.47
493,362.85,305.39
494,361.58,309.36
495,360.31,313.38
496,359.04,317.46
497,357.77,321.60
498,356.50,325.79
499,355.24,330.04
500,353.97,334.35
501,352.70,338.70
502,351.43,343.12
503,350.16,347.59
504,348.90,352.11
505,347.63,356.70
506,346.36,361.33
507,345.09,366.02
508,343.82,370.77
509,342.55,375.58
510,341.29,380.43
511,340.02,385.35
512,338.75,390.32
513,337.48,395.35
514,336.21,400.43
515,334.94,405.56
516,333.68,410.76
517,332.41,416.00
518,331.14,421.31
519,332.25,422.54
520,336.26,418.82
521,340.27,415.15
522,344.27,411.54
523,348.28,407.99
524,352.29,404.49
525,356.29,401.04
526,360.30,397.65
527,364.31,394.32
528,368.31,391.04
529,372.32,387.82
530,376.33,384.65
531,380.33,381.54
532,384.34,378.49
533,388.35,375.49
534,392.36,372.54
535,396.36,369.65
536,400.37,366.82
537,404.38,364.04
538,408.38,361.32
539,412.39,358.65
540,416.40,356.04
541,420.40,353.49
542,424.41,350.99
543,428.42,348.54
544,432.42,346.15
545,436.43,343.82
546,440.44,341.54
547,444.45,339.32
548,448.45,337.15
549,452.46,335.04
550,456.47,332.99
551,460.47,330.99
552,464.48,329.04
553,468.49,327.15
554,472.49,325.32
555,476.50,323.54
556,480.51,321.82
557,484.51,320.15
558,488.52,318.54
559,492.53,316.99
560,496.54,315.49
561,500.54,314.04
562,504.55,312.65
563,508.56,311.32
564,512.56,310.04
565,516.57,308.82
566,520.58,307.65
567,524.58,306.54
568,528.59,305.49
569,532.60,304.49
570,536.60,303.54
571,540.61,302.65
572,544.62,301.82
573,548.62,301.04
574,552.63,300.32
575,556.64,299.65
576,560.65,299.04
577,564.65,298.49
578,568.66,297.99
579,572.67,297.54
580,576.67,297.15
581,580.68,296.82
582,584.69,296.54
583,588.69,296.32
584,592.70,296.15
585,596.71,296.04
586,600.71,295.99
587,604.72,295.99
588,608.73,296.04
589,612.74,296.15
590,616.74,296.32
591,620.75,296.54
592,622.11,295.29
593,619.87,292.02
594,617.62,288.80
595,615.38,285.63
596,613.13,282.52
597,610.89,279.47
598,608.65,276.47
599,606.40,273.53
